W1Q,L1Q,W2Q,L2Q,W3Q,L3Q,W4Q,L4Q
10,13,17,14,15,15,16,11
15,13,11,14,16,12,16,16
14,16,13,13,10,14,19,8
18,12,17,10,17,12,14,17
12,15,15,12,16,10,15,15
12,13,18,13,14,10,10,14
16,9,11,11,16,12,11,12
18,9,16,9,13,15,13,14
13,10,14,11,13,13,19,17
14,10,13,10,11,12,13,10
14,13,16,14,14,16,18,10
13,17,12,12,16,11,14,14
14,10,13,13,12,11,17,11
17,10,16,8,15,11,16,16
13,10,13,14,11,11,13,10
17,11,16,12,19,10,14,17
15,14,11,15,14,8,11,13
14,10,13,14,13,8,13,6
19,12,16,8,16,16,15,13
15,11,12,14,15,13,17,13
16,5,14,13,14,8,5,13
14,11,13,16,16,12,12,15
15,10,12,12,15,11,15,7
13,16,17,15,12,15,17,10
15,12,14,13,14,12,17,12
15,15,14,15,14,12,17,14
14,11,14,16,13,6,15,10
14,10,13,13,13,14,15,14
20,13,16,18,18,11,21,12
15,16,17,10,7,17,16,7
16,10,15,11,10,17,18,12
16,10,14,13,13,11,12,16
15,13,16,16,16,12,12,15
17,15,18,15,15,13,12,11
20,14,18,18,16,15,16,12
10,16,15,7,14,12,12,13
18,17,13,14,12,12,18,16
10,11,15,13,12,9,11,12
13,11,11,13,10,15,16,9
19,15,18,13,14,9,15,18
14,12,15,11,13,14,14,12
15,11,9,13,13,11,12,12
13,13,18,11,17,16,16,10
16,12,17,11,15,15,14,12
13,10,12,7,18,13,16,18
15,11,13,14,14,10,14,17
17,15,14,9,12,13,13,16
15,12,18,14,14,12,16,11
12,12,16,9,10,13,11,8
17,16,17,13,16,9,21,12
13,18,20,9,15,10,19,11
14,15,18,13,9,13,15,14
18,11,15,12,13,11,22,8
14,9,14,11,7,15,14,12